iter	Passed	Remaining
247	338	1025
248	339	1023
249	340	1021
250	341	1019
251	342	1017
252	343	1015
253	344	1013
254	345	1010
255	346	1008
256	348	1006
257	349	1004
258	351	1005
259	352	1003
260	353	1001
261	354	999
262	356	997
263	357	995
264	358	993
265	359	991
266	360	990
267	361	987
268	363	987
269	364	986
270	365	983
271	366	981
272	367	979
273	368	977
274	370	975
275	371	973
276	372	971
277	373	969
278	374	967
279	375	966
280	377	965
281	378	963
282	379	961
283	380	959
284	381	957
285	382	954
286	383	953
287	384	951
288	385	949
289	387	947
290	388	946
291	390	945
292	391	944
293	392	942
294	393	940
295	394	938
296	395	937
297	397	935
298	398	933
299	399	931
300	400	929
301	402	929
302	403	927
303	404	925
304	405	923
305	406	921
306	407	919
307	408	918
308	409	916
309	410	913
310	411	911
311	412	910
312	414	908
313	415	907
314	416	906
315	417	904
316	418	902
317	420	900
318	421	899
319	422	897
320	423	895
321	424	893
322	425	891
323	426	890
324	428	890
325	429	888
326	430	886
327	431	884
328	432	883
329	434	881
330	435	879
331	436	877
332	437	876
333	438	874
334	440	874
335	441	873
336	442	871
337	443	869
338	445	867
339	446	866
340	447	864
341	448	862
342	449	860
343	450	859
344	451	857
345	453	856
346	454	855
347	455	854
348	456	852
349	457	850
350	459	848
351	460	846
352	461	845
353	462	843
354	463	842
355	464	840
356	466	840
357	467	838
358	468	837
359	469	835
360	471	833
361	472	832
362	473	830
363	474	828
364	475	827
365	476	825
366	477	824
367	479	823
368	480	822
369	481	820
370	482	818
371	484	817
372	485	815
373	486	813
374	487	811
375	488	810
376	489	808
377	490	807
378	491	806
379	493	805
380	494	803
381	495	801
382	496	800
383	497	798
384	498	796
385	499	795
386	501	793
387	502	792
388	503	790
389	505	790
390	506	789
391	507	787
392	508	785
393	509	784
394	510	782
395	512	781
396	513	779
397	514	777
398	515	776
399	516	775
400	518	774
401	520	773
402	521	772
403	522	771
404	523	769
405	525	768
406	526	766
407	527	764
408	528	763
409	535	769
410	536	768
411	538	767
412	539	767
413	541	766
414	543	766
415	545	766
416	548	766
417	550	765
418	551	765
419	552	763
420	554	761
421	555	760
422	557	760
423	558	758
424	560	757
425	562	757
426	563	756
427	564	754
428	567	755
429	570	755
430	571	754
431	573	754
432	575	753
433	577	752
434	578	751
435	579	750
436	582	749
437	583	749
438	585	748
439	587	747
440	589	746
441	590	745
442	592	744
443	594	743
444	595	743
445	597	742
446	599	741
447	600	740
448	602	738
449	604	739
450	609	741
451	611	741
452	612	739
453	614	738
454	615	737
455	616	735
456	618	734
457	620	734
458	622	733
459	623	732
460	624	730
461	626	729
462	627	727
463	629	726
464	630	725
465	631	723
466	633	723
467	635	721
468	636	720
469	638	719
470	640	718
471	641	717
472	643	716
473	648	720
474	650	719
475	652	717
476	653	716
477	654	714
478	655	712
479	656	711
480	657	709
481	659	708
482	660	707
483	662	705
484	663	704
485	664	702
486	665	700
487	666	699
488	667	697
489	668	696
490	670	694
491	671	693
492	673	692
493	674	690
494	675	688
495	676	687
496	677	685
497	678	684
498	679	682
499	680	680
500	681	679
501	683	678
502	685	676
503	686	675
504	687	673
505	688	672
506	689	670
507	690	668
508	691	667
509	692	665
510	693	663
511	694	662
512	696	661
513	698	660
514	699	658
515	700	657
516	701	655
517	702	654
518	703	652
519	705	650
520	706	649
521	707	647
522	709	646
523	710	645
524	711	643
525	712	642
526	713	640
527	715	639
528	716	637
529	717	636
530	718	634
531	719	633
532	721	632
533	724	631
534	725	630
535	727	630
536	729	628
537	730	627
538	732	626
539	733	624
540	735	623
541	737	622
542	738	621
543	739	620
544	741	618
545	742	617
546	743	615
547	744	614
548	745	612
549	747	611
550	749	610
551	750	608
552	751	607
553	752	605
554	753	604
555	754	602
556	756	601
557	757	599
558	758	598
559	759	596
560	761	595
561	762	594
562	764	593
563	765	591
564	766	589
565	767	588
566	768	586
567	769	585
568	770	583
569	771	582
570	774	581
571	775	580
572	776	578
573	778	577
574	779	575
575	780	574
576	781	572
577	782	571
578	783	569
579	784	568
580	785	566
581	787	565
582	788	564
583	790	562
584	791	561
585	792	559
586	793	558
587	794	556
588	796	555
589	797	554
590	799	553
591	801	552
592	802	550
593	803	549
594	804	547
595	805	545
596	806	544
597	807	542
598	808	541
599	809	539
600	810	538
601	812	537
602	813	535
603	814	534
604	816	532
605	817	531
606	818	529
607	819	528
608	820	526
609	821	525
610	822	523
611	824	522
612	826	521
613	827	520
614	828	518
615	829	517
616	830	515
617	831	514
618	832	512
619	834	511
620	835	509
621	836	508
622	837	506
623	839	505
624	840	504
625	841	502
626	842	501
627	843	499
628	844	498
629	845	496
630	846	495
631	847	493
632	849	492
633	850	491
634	852	489
635	853	488
636	854	486
637	855	485
638	856	483
639	857	482
640	858	480
641	859	479
642	860	478
643	862	476
644	863	475
645	865	474
646	866	472
647	867	471
648	868	469
649	869	468
650	870	466
651	871	465
652	872	463
653	874	462
654	875	461
655	877	460
656	878	458
657	879	457
658	880	455
659	881	454
660	882	452
661	883	451
662	884	449
663	886	448
664	887	446
665	888	445
666	890	444
667	891	443
668	892	441
669	893	440
670	894	438
671	895	437
672	897	435
673	898	434
674	899	433
675	900	431
676	902	430
677	903	429
678	904	427
679	905	426
680	906	424
681	908	423
682	909	422
683	910	420
684	911	419
685	912	417
686	913	416
687	915	415
688	916	413
689	917	412
690	918	410
691	920	409
692	921	408
693	922	406
694	923	405
695	924	403
696	925	402
697	926	400
698	928	399
699	929	398
700	930	396
701	931	395
702	932	393
703	933	392
704	934	391
705	936	389
706	937	388
707	938	386
708	939	385
709	941	384
710	942	383
711	943	381
712	944	380
713	946	378
714	947	377
715	948	376
716	949	374
717	950	373
718	952	372
719	953	370
720	955	369
721	956	368
722	957	366
723	959	365
724	961	364
725	964	364
726	966	363
727	969	362
728	971	361
729	973	360
730	975	359
731	978	358
732	981	357
733	982	356
734	984	354
735	985	353
736	986	351
737	987	350
738	988	349
739	990	347
740	992	346
741	993	345
742	995	344
743	996	342
744	997	341
745	998	339
746	999	338
747	1000	337
748	1001	335
749	1003	334
750	1004	333
751	1006	331
752	1007	330
753	1008	329
754	1009	327
755	1011	326
756	1012	325
757	1013	323
758	1014	322
759	1016	320
760	1018	319
761	1019	318
762	1021	317
763	1022	315
764	1027	315
765	1029	314
766	1031	313
767	1032	312
768	1034	310
769	1035	309
770	1037	308
771	1038	306
772	1040	305
773	1042	304
774	1043	303
775	1045	301
776	1046	300
777	1048	299
778	1049	297
779	1050	296
780	1052	295
781	1053	293
782	1055	292
783	1057	291
784	1058	289
785	1059	288
786	1061	287
787	1062	285
788	1063	284
789	1064	283
790	1066	281
791	1068	280
792	1069	279
793	1070	277
794	1071	276
795	1072	274
796	1073	273
797	1075	272
798	1076	270
799	1077	269
800	1078	267
801	1080	266
802	1081	265
803	1082	263
804	1083	262
805	1085	261
806	1086	259
807	1087	258
808	1088	257
809	1089	255
810	1091	254
811	1093	253
812	1094	251
813	1095	250
814	1096	248
815	1097	247
816	1098	246
817	1099	244
818	1101	243
819	1102	241
820	1103	240
821	1105	239
822	1106	237
823	1107	236
824	1108	235
825	1109	233
826	1111	232
827	1112	231
828	1113	229
829	1114	228
830	1115	226
831	1117	225
832	1119	224
833	1120	223
834	1121	221
835	1122	220
836	1123	218
837	1125	217
838	1126	216
839	1127	214
840	1128	213
841	1130	212
842	1131	210
843	1132	209
844	1134	208
845	1135	206
846	1136	205
847	1137	203
848	1138	202
849	1139	201
850	1140	199
851	1142	198
852	1144	197
853	1145	195
854	1146	194
855	1147	193
856	1148	191
857	1149	190
858	1150	188
859	1151	187
860	1152	186
861	1154	184
862	1155	183
863	1156	182
864	1158	180
865	1169	181
866	1171	179
867	1173	178
868	1174	177
869	1175	175
870	1176	174
871	1177	172
872	1179	171
873	1180	170
874	1182	168
875	1183	167
876	1184	166
877	1186	164
878	1187	163
879	1188	162
880	1189	160
881	1191	159
882	1192	157
883	1193	156
884	1195	155
885	1196	153
886	1197	152
887	1199	151
888	1200	149
889	1201	148
890	1202	147
891	1203	145
892	1205	144
893	1206	143
894	1208	141
895	1211	140
896	1212	139
897	1214	137
898	1215	136
899	1216	135
900	1217	133
901	1219	132
902	1221	131
903	1222	129
904	1223	128
905	1224	127
906	1225	125
907	1226	124
908	1228	122
909	1229	121
910	1230	120
911	1232	118
912	1233	117
913	1235	116
914	1236	114
915	1237	113
916	1238	112
917	1240	110
918	1241	109
919	1242	108
920	1243	106
921	1245	105
922	1246	103
923	1247	102
924	1248	101
925	1249	99
926	1251	98
927	1252	97
928	1253	95
929	1254	94
930	1255	93
931	1257	91
932	1259	90
933	1260	89
934	1261	87
935	1262	86
936	1264	85
937	1265	83
938	1266	82
939	1267	80
940	1269	79
941	1271	78
942	1272	76
943	1273	75
944	1275	74
945	1276	72
946	1277	71
947	1278	70
948	1279	68
949	1280	67
950	1281	66
951	1283	64
952	1284	63
953	1286	62
954	1287	60
955	1288	59
956	1289	57
957	1290	56
958	1291	55
959	1293	53
960	1295	52
961	1297	51
962	1298	49
963	1299	48
964	1300	47
965	1302	45
966	1303	44
967	1304	43
968	1305	41
969	1306	40
970	1309	39
971	1310	37
972	1311	36
973	1312	35
974	1314	33
975	1315	32
976	1316	30
977	1317	29
978	1318	28
979	1319	26
980	1321	25
981	1322	24
982	1324	22
983	1325	21
984	1326	20
985	1327	18
986	1328	17
987	1330	16
988	1331	14
989	1332	13
990	1333	12
991	1335	10
992	1336	9
993	1337	8
994	1338	6
995	1339	5
996	1340	4
997	1342	2
998	1343	1
999	1344	0
