iter	Logloss
169	0.5447475882
170	0.5441020173
171	0.5434961781
172	0.5428139688
173	0.5422531741
174	0.5417007578
175	0.5413618668
176	0.5409074635
177	0.5403748915
178	0.5397595145
179	0.5389833811
180	0.5386495579
181	0.5381186424
182	0.537455776
183	0.5369770529
184	0.5364413114
185	0.5358523761
186	0.5352004346
187	0.5346112477
188	0.5343268265
189	0.5339369519
190	0.5335217445
191	0.532904527
192	0.5323283748
193	0.5316951319
194	0.5312864071
195	0.5307612732
196	0.5300785859
197	0.5296253051
198	0.529151022
199	0.5288592169
200	0.5283218796
201	0.5276579384
202	0.5267963341
203	0.526297784
204	0.5258677779
205	0.525377359
206	0.5250060696
207	0.5248290676
208	0.5242226073
209	0.5237782498
210	0.523330954
211	0.5229961592
212	0.5224437287
213	0.5216226037
214	0.52120668
215	0.5204448539
216	0.5197649064
217	0.5192286608
218	0.518720407
219	0.518103125
220	0.517657729
221	0.5168778294
222	0.5162171082
223	0.5158512908
224	0.5155060558
225	0.5152886992
226	0.514977481
227	0.5144190938
228	0.5135273321
229	0.5130203894
230	0.5127360702
231	0.5122566914
232	0.5118892697
233	0.5113382021
234	0.5110176668
235	0.5104879485
236	0.5099525679
237	0.5089917822
238	0.5085545397
239	0.5080670192
240	0.507651463
241	0.5072105798
242	0.5067481801
243	0.5062152234
244	0.5056384921
245	0.5050140549
246	0.5043910373
247	0.5038689992
248	0.5034060236
249	0.5029216639
250	0.5025327206
251	0.5021432626
252	0.5013582472
253	0.500809529
254	0.500257165
255	0.499840202
256	0.4995115273
257	0.499274249
258	0.4988074391
259	0.4985087517
260	0.4979754128
261	0.4975290259
262	0.4969728578
263	0.4965394928
264	0.4961143916
265	0.4957147286
266	0.494935365
267	0.4945106827
268	0.4940833184
269	0.4933719857
270	0.4929571748
271	0.4925160417
272	0.4919917329
273	0.4917405571
274	0.491338449
275	0.490828654
276	0.4905203178
277	0.4902306864
278	0.4898349911
279	0.4896200002
280	0.4892642222
281	0.4885250032
282	0.4881538007
283	0.4877974799
284	0.4873319351
285	0.4870489978
286	0.4865117186
287	0.4859006378
288	0.4854010112
289	0.4850881385
290	0.4843485062
291	0.4840787273
292	0.4836735361
293	0.4833066184
294	0.4829953392
295	0.4827555888
296	0.4824341304
297	0.4820295603
298	0.4814964236
299	0.4809360424
300	0.4805571151
301	0.4801657259
302	0.4798451287
303	0.4793999099
304	0.47922283
305	0.47876628
306	0.4785869194
307	0.4780916264
308	0.477759061
309	0.4774468868
310	0.477009998
311	0.47639907
312	0.476004285
313	0.475634704
314	0.4754355957
315	0.4751800485
316	0.4744680832
317	0.4740005988
318	0.473489852
319	0.4732329871
320	0.4729066726
321	0.4725081632
322	0.4720809506
323	0.4717796886
324	0.4716128156
325	0.4708290079
326	0.470532642
327	0.470017955
328	0.4694866085
329	0.468984674
330	0.46864399
331	0.4683831278
332	0.468069244
333	0.467802739
334	0.4673313839
335	0.4667754601
336	0.4663534918
337	0.4661546829
338	0.465618729
339	0.4651742638
340	0.4650278386
341	0.4647743107
342	0.4644311095
343	0.4641500767
344	0.4637889656
345	0.463442051
346	0.4630154253
347	0.4627039392
348	0.4623381533
349	0.4618962044
350	0.4614383666
351	0.4608640084
352	0.4601561022
353	0.4596926133
354	0.4590945802
355	0.4585310495
356	0.4581101227
357	0.4577158562
358	0.457314584
359	0.4571020645
360	0.4568865684
361	0.4563335436
362	0.4559260268
363	0.4554973062
364	0.4550072703
365	0.4545180529
366	0.4540940184
367	0.4538606222
368	0.4535217791
369	0.4530604815
370	0.4527233423
371	0.4522817492
372	0.4520784041
373	0.4514993875
374	0.4512239134
375	0.4510482767
376	0.4506899989
377	0.4502940898
378	0.4499423878
379	0.4496566075
380	0.4492815077
381	0.4487761658
382	0.4484089046
383	0.4481087553
384	0.4475419875
385	0.4473475159
386	0.4471140701
387	0.446793571
388	0.4465722315
389	0.4463116548
390	0.4458578539
391	0.4456539911
392	0.4450478442
393	0.4447552678
394	0.4443842995
395	0.4440237597
396	0.4436712953
397	0.4433676108
398	0.4429718724
399	0.4427069261
400	0.4422948143
401	0.4420133159
402	0.441743136
403	0.4415479846
404	0.440913114
405	0.4406014456
406	0.4404567359
407	0.4401390199
408	0.4399655916
409	0.4394346285
410	0.4392422653
411	0.4389704676
412	0.4386636417
413	0.4382823433
414	0.437905337
415	0.4375221406
416	0.4372002988
417	0.4369759179
418	0.4364695127
419	0.4361793344
420	0.4357110616
421	0.435355584
422	0.4348397216
423	0.4345423166
424	0.4341818919
425	0.433969995
426	0.4338339497
427	0.4334963574
428	0.4329742001
429	0.4327633039
430	0.4324047806
431	0.4320671213
432	0.4318102245
433	0.4313542478
434	0.4311259652
435	0.4308816329
436	0.4305199837
437	0.4300593385
438	0.4298288218
439	0.4293684075
440	0.4290362493
441	0.4287015563
442	0.428314391
443	0.4280637348
444	0.4277214876
445	0.4274211197
446	0.4272542313
447	0.4270038366
448	0.4266819404
449	0.4264186615
450	0.4262292628
451	0.4260902278
452	0.4257438308
453	0.4251747204
454	0.4248436447
455	0.4245293249
456	0.4239674123
457	0.4235658307
458	0.4231322889
459	0.4227400548
460	0.4222323569
461	0.4218672487
462	0.4215063729
463	0.4210998454
464	0.4206012228
465	0.4200962855
466	0.419420628
467	0.4192341548
468	0.41888799
469	0.4184169654
470	0.418075168
471	0.4176329634
472	0.4174343686
473	0.4170091521
474	0.41652521
475	0.4161817189
476	0.415690696
477	0.4154333877
478	0.4152130276
479	0.4148649522
480	0.4144969205
481	0.41415514
482	0.4138367108
483	0.4134934416
484	0.4132615116
485	0.4128183877
486	0.4123791296
487	0.4118462475
488	0.4114415672
489	0.4108620815
490	0.4103673498
491	0.4099767255
492	0.4098286864
493	0.4092981261
494	0.408735818
495	0.4084661616
496	0.4082131691
497	0.4078869188
498	0.4076398841
499	0.4072449726
500	0.4069245102
501	0.4066561046
502	0.4063773689
503	0.4059176886
504	0.4053035526
505	0.4049311355
506	0.4045550909
507	0.4041408935
508	0.4038311142
509	0.4035184935
510	0.4032261793
511	0.4029599378
512	0.4026258012
513	0.4022828324
514	0.4019970084
515	0.4017460111
516	0.401277116
517	0.4010128165
518	0.4007896533
519	0.4005139936
520	0.4002923707
521	0.3998903247
522	0.3995213529
523	0.3992702275
524	0.3989782805
525	0.3986688202
526	0.3981675649
527	0.3977443673
528	0.3974503357
529	0.3971640922
530	0.3968264312
531	0.3964372215
532	0.3960546766
533	0.3958310454
534	0.395441387
535	0.3952186455
536	0.3946651261
537	0.3943820996
538	0.3939556868
539	0.393583648
540	0.3932231356
541	0.3928692272
542	0.3925416954
543	0.3920148537
544	0.3915875097
545	0.3913468763
546	0.3912185072
547	0.390829142
548	0.3905913582
549	0.3903926992
550	0.3898532866
551	0.389623735
552	0.389185803
553	0.3889298757
554	0.3887392675
555	0.3883105156
556	0.3878888937
557	0.3875409204
558	0.3873035363
559	0.387134644
560	0.3867428734
561	0.3865800471
562	0.3860303614
563	0.3854402802
564	0.3849685111
565	0.3847220212
566	0.3843804172
567	0.3841342279
568	0.383896573
569	0.383515925
570	0.3833400784
571	0.3830933252
572	0.3829817655
573	0.3825621401
574	0.382035134
575	0.3818871478
576	0.3816862906
577	0.3813325749
578	0.3810816422
579	0.3809078724
580	0.3807406779
581	0.3806593666
582	0.3804139386
583	0.3799276841
584	0.3796458554
585	0.3793736653
586	0.3791006139
587	0.3787343758
588	0.3784078704
589	0.3780386121
590	0.3777339607
591	0.377467828
592	0.3770178267
593	0.3768393377
594	0.3765592918
595	0.3763136882
596	0.3761386276
597	0.3757712562
598	0.3755396685
599	0.3753658437
600	0.3750622414
601	0.3747959876
602	0.3746056166
603	0.3743885566
604	0.3740954839
605	0.3737766234
606	0.373249883
607	0.3730513138
608	0.3728126392
609	0.3727069318
610	0.3724262782
611	0.3719719792
612	0.3717929761
613	0.3713965691
614	0.3712119162
615	0.3709832453
616	0.3705870616
617	0.370302176
618	0.3699767097
619	0.3697961909
620	0.3694274194
621	0.3691843365
622	0.3687159342
623	0.368290966
624	0.3678794546
625	0.3675027492
626	0.3671476312
627	0.3667162852
628	0.3664773167
629	0.3661419242
630	0.3656961543
631	0.3653403626
632	0.3650710596
633	0.3646875312
634	0.364543202
635	0.3643498167
636	0.3641898485
637	0.363770082
638	0.3636267511
639	0.3634898095
640	0.3631165084
641	0.3628560197
642	0.3624800065
643	0.3622171336
644	0.3619153449
645	0.3616712113
646	0.3612764554
647	0.3608808058
648	0.3603760527
649	0.360125323
650	0.3598128946
651	0.3595062471
652	0.3592965117
653	0.3590830858
654	0.3587381307
655	0.3585296009
656	0.3582887904
657	0.3581654783
658	0.3577613824
659	0.3573493268
660	0.357048703
661	0.3567240981
662	0.3565603787
663	0.3562652442
664	0.3559373109
665	0.3555381003
666	0.355424197
667	0.3550248754
668	0.3548654268
669	0.3546550549
670	0.354363679
671	0.3541389104
672	0.3538843586
673	0.3536730886
674	0.3532938267
675	0.3531253864
676	0.3525896723
677	0.3523043379
678	0.3520742515
679	0.3517022471
680	0.3515592846
681	0.3513394153
682	0.3509516499
683	0.3507041674
684	0.3503192189
685	0.3497904463
686	0.3495575575
687	0.3493532798
688	0.3491286429
689	0.3488486117
690	0.3485494022
691	0.3480722335
692	0.347746272
693	0.3473617784
694	0.3470383615
695	0.3466027495
696	0.34622093
697	0.3460393639
698	0.3457301247
699	0.3453566394
700	0.3451538442
701	0.3448548985
702	0.3445298562
703	0.3441798113
704	0.3439911547
705	0.3436929015
706	0.3434247957
707	0.3431847412
708	0.3429738442
709	0.3427359683
710	0.3425328513
711	0.3421469039
712	0.3419468817
713	0.3416110294
714	0.3413106014
715	0.3411610358
716	0.3408115208
717	0.3405903668
718	0.3402507143
719	0.3400014253
720	0.3397310473
721	0.3395208645
722	0.3390876812
723	0.3386283692
724	0.3381668966
725	0.3378898163
726	0.3375771839
727	0.3373716976
728	0.3371074394
729	0.3369142911
730	0.3366382134
731	0.3362763994
732	0.3359907388
733	0.3357782578
734	0.3354829003
735	0.3351649807
736	0.3348336399
737	0.3344938752
738	0.3341303943
739	0.3338292223
740	0.3336498137
741	0.3334034153
742	0.3327781368
743	0.3326469727
744	0.3323504891
745	0.3320154642
746	0.3318105097
747	0.3314551468
748	0.3312200386
749	0.3308636215
750	0.3305559078
751	0.3302062766
752	0.3299007319
753	0.3296956329
754	0.3294319803
755	0.3291838627
756	0.3288358917
757	0.3285599198
758	0.3281739178
759	0.3278245578
760	0.3275386446
761	0.3272807693
762	0.3270018699
763	0.3268027505
764	0.326583132
765	0.3262360449
766	0.3258188988
767	0.325468873
768	0.3252047718
769	0.3249838945
770	0.3246994206
771	0.3244088257
772	0.324156117
773	0.3239177363
774	0.3237628055
775	0.3233136815
776	0.3229653844
777	0.322759261
778	0.3225293704
779	0.3222809162
780	0.322013183
781	0.32176533
782	0.3214929775
783	0.3211394896
784	0.3210087242
785	0.3206931373
786	0.3203985433
787	0.3201535327
788	0.3198994781
789	0.3196316964
790	0.3192978281
791	0.3190189613
792	0.3186832085
793	0.3183742892
794	0.3181585711
795	0.3179247591
796	0.3176052931
797	0.317445412
798	0.3169981239
799	0.3168004431
800	0.3165257494
801	0.3162448986
802	0.3159936377
803	0.3157658763
804	0.3154339144
805	0.3152262342
806	0.3150229984
807	0.3147895434
808	0.3144694022
809	0.3142178725
810	0.3138682928
811	0.3134438173
812	0.3132058482
813	0.3130678518
814	0.3128687291
815	0.3126575635
816	0.3124419418
817	0.3121708329
818	0.3118593603
819	0.3115734217
820	0.3113567061
821	0.311181053
822	0.3107783479
823	0.3105516034
824	0.3102312525
825	0.309837665
826	0.3095652313
827	0.3093772249
828	0.3090816085
829	0.3089126124
830	0.3084750862
831	0.308304456
832	0.3080904798
833	0.3078721742
834	0.3075512922
835	0.3073377226
836	0.3070583693
837	0.3068372653
838	0.3065774942
839	0.306316178
840	0.3059989193
841	0.3055917587
842	0.305323165
843	0.3051581574
844	0.3048112328
845	0.304520753
846	0.3043226578
847	0.3038722175
848	0.3035551315
849	0.3032096948
850	0.3028982712
851	0.3026540287
852	0.3023045031
853	0.3020878434
854	0.301801778
855	0.3016099013
856	0.3013429411
857	0.301126287
858	0.3009369111
859	0.3007098977
860	0.3005018089
861	0.3002408866
862	0.2999221327
863	0.2997238308
864	0.2995340292
865	0.2992723999
866	0.2990054646
867	0.2987850826
868	0.2986014418
869	0.298288888
870	0.2979481547
871	0.2977411768
872	0.2972547874
873	0.2969964194
874	0.2967578816
875	0.2965657446
876	0.2962742799
877	0.2959765482
878	0.2957387314
879	0.2954221656
880	0.2951799329
881	0.2949204987
882	0.2946502069
883	0.2942503364
884	0.2939465821
885	0.2936464255
886	0.2932587528
887	0.2930216701
888	0.2928897294
889	0.2926516743
890	0.2925188553
891	0.2922163901
892	0.2920198648
893	0.2917609346
894	0.2915995492
895	0.2913391782
896	0.2911630464
897	0.29096034
898	0.2905822069
899	0.2904262514
900	0.2901658196
901	0.2898718178
902	0.2896086571
903	0.2891552002
904	0.2890049707
905	0.2887781953
906	0.2884586818
907	0.2883016332
908	0.2878649493
909	0.2875859246
910	0.2874185853
911	0.287119743
912	0.286821158
913	0.2865891444
914	0.2862728225
915	0.2859282581
916	0.2854922264
917	0.2852932894
918	0.28498495
919	0.2847575561
920	0.284592155
921	0.2844837865
922	0.2841304159
923	0.2837226941
924	0.2833416365
925	0.282925547
926	0.2827882152
927	0.2823287281
928	0.281969
929	0.2817335407
930	0.2815132932
931	0.2811402566
932	0.2809708769
933	0.2808488131
934	0.2805386328
935	0.2801883986
936	0.2799595467
937	0.2798250768
938	0.2794979979
939	0.2793633741
940	0.2791578386
941	0.2788274276
942	0.2784056221
943	0.2782218189
944	0.2780776716
945	0.2778219451
946	0.277584412
947	0.2772461543
948	0.2769355055
949	0.2766790654
950	0.2764912786
951	0.2762030906
952	0.2759364427
953	0.2756776498
954	0.2753757936
955	0.2749594975
956	0.2747383686
957	0.2744756068
958	0.274180608
959	0.2738951369
960	0.2736401174
961	0.2732958127
962	0.2731549096
963	0.2729744165
964	0.2727287422
965	0.2725124542
966	0.272169972
967	0.2719027539
968	0.2715829394
969	0.2712001505
970	0.2708698179
971	0.2706761122
972	0.2702204758
973	0.2699427273
974	0.2695710688
975	0.2690954649
976	0.268849019
977	0.26863126
978	0.2685303036
979	0.2681551137
980	0.2678475007
981	0.2674947165
982	0.2671662892
983	0.2669196111
984	0.2666298728
985	0.2663909724
986	0.2661469336
987	0.2659926553
988	0.2655724855
989	0.2653862838
990	0.2650728541
991	0.2647896399
992	0.2644689391
993	0.2640889663
994	0.2638800354
995	0.2636327683
996	0.2634563803
997	0.2630054743
998	0.2626922989
999	0.2624275937
